Designator,Footprint,Quantity,Value,LCSC Part #
"+3V3_1, +3V3_3, +3V3_4, +3V3_5, +3V6_1, +5V_1, N5V2_TP1, P5V2_TP1",TestPoint_Loop_D3.80mm_Drill2.5mm,8,TestPoint,
"C1, C11, C13, C15, C17, C19, C21, C25, C26, C41, C42, C43, C44, C51, C52, C53, C54, C6, C7, C8, C9",0603,21,0.1uF,
"C10, C12, C16, C18, C20, C22",0603,6,100pF,
C14,0603,1,0.01uF,
"C2, C3",0603,2,10uF,
"C23, C28, C30",0603,3,2.2uF,
"C24, C45, C46, C55, C56",0603,5,1uF,
C27,0603,1,4.7pF,
C29,0603,1,10pF,
"C31, C32",0603,2,8pF C0G/NP0  >5%,C36508
"C33, C34, C35, C36, C4, C5, C67, C68",0603,8,4.7uF,
"C37, C38, C39, C40, C47, C48, C49, C50",0603,8,1.5pF,
"C57, C58, C59, C60, C61, C65",0603,6,0.1u, C14663
C62,0603,1,4.7u, C19702
C63,0603,1,0.01u,C1589
"C64, C66",0603,2,1u, C15849
D1,0603,1,LED GREEN,
D2,CSL1901MW1,1,CSL1901MW1,
D3,SODFL3618X110N,1,SMF5.0A,C193402
"D4, D5",SOT95P237X125-3N,2,SM05.TCT,C2687125
D6,LEDC1608X85N,1,APT1608LZGCK,
"FB1, FB2, FB3, FB4",0603,4,1.8K OHM AT 100MEGHZ,
IC1,QFN50P500X500X80-33N-D,1,AD9106BCPZ,
IC2,SON50P300X300X85-11N-D,1,ADP5300ACPZ-1-R7,
"IC3, IC6, IC7, IC8",SON65P200X200X65-7N-D,4,ADM7160ACPZN3.3-R7,
IC4,SON50P300X300X80-11N-D,1,LT3472EDD#PBF,
IC9,QFP50P1600X1600X160-100N,1,STM32L476VGT6,
"J1, J2, J3, J4, J5, J6",1420701201,6,142-0701-201,
J10,PinHeader_1x04_P2.54mm_Vertical,1,SPI_TP_1,
J7,PinHeader_1x02_P2.54mm_Vertical,1,DEBUG_UART_TP_1,
J8,PinHeader_1x02_P2.54mm_Vertical,1,I2C_TP1,
J9,USB4500030A,1,USB4500-03-0-A,
"JP1, JP2",PinHeader_1x03_P2.54mm_Vertical,2,Jumper_3_Open,
JP3,2002112100010C4LF,1,20021121-00010C4LF,C150517
L1,INDC2016X100N,1,MLP2016H2R2MT0S1,
L2,LQH32CH100K53L,1,22uH,
"L3, L4",LQH32CH100K53L,2,47uH,
R1,0603,1,499K,
R10,0603,1,9.1K,
R11,0603,1,158K,
R12,0603,1,210K,
"R13, R14, R17, R18, R21, R22, R29, R30, R31, R32, R33, R34",0603,12,1K,
"R15, R16, R19, R20, R23, R24, R25, R26, R35, R36, R37, R38, R39, R40, R41, R42",0603,16,499R,
"R2, R4",0603,2,100R,
"R27, R28, R43, R44",0603,4,49.9R,
"R3, R7",0603,2,0R,
R45,0603,1,4.7K,
R46,0603,1,750, C23241
"R47, R48",0603,2,4K7, C23162
"R49, R50",0603,2,10K, C23162
"R5, R6, R8, R9",0603,4,8.06K,
"R51, R52",0603,2,5.1K,C23186
R53,0603,1,325R,
T1,ADT21T,1,ADT2-1T+,
"U1, U3",Analog_LFCSP-16-1EP_4x4mm_P0.65mm_EP2.35x2.35mm,2,ADA4817-2ACP,
U4,15x6_Insyte_Logo,1,~,
Y1,AX3_3.2x2.5,1,AX3DCF1-156.2500T,
Y2,ECS327516TR,1,ECS-.327-7-16-C-TR,
