Designator,Mid X,Mid Y,Rotation,Layer
+3V3_1,80.65,-60.1,270.0,top
+3V3_3,76.571875,-45.139375,180.0,top
+3V3_4,117.538,-73.688,0.0,top
+3V3_5,76.15,-34.4,90.0,top
+3V6_1,88.05,-49.2,0.0,top
+5V_1,86.15,-34.35,0.0,top
C1,105.25,-73.85,270.0,top
C10,105.788,-70.088,90.0,top
C11,93.938,-73.338,270.0,top
C12,95.438,-73.338,270.0,top
C13,92.438,-71.138,270.0,top
C14,94.688,-71.088,180.0,top
C15,87.430625,-58.791875,90.0,top
C16,85.930625,-58.791875,90.0,top
C17,89.009372,-55.748877,270.0,top
C18,87.499372,-55.748877,270.0,top
C19,99.584048,-71.05,0.0,bottom
C2,93.75,-41.95,180.0,top
C20,99.584048,-69.55,0.0,bottom
C21,99.6,-72.55,0.0,bottom
C22,99.6,-74.05,0.0,bottom
C23,106.9,-35.95,180.0,top
C24,110.7,-46.3,90.0,top
C25,115.7,-42.45,0.0,top
C26,115.7,-44.05,0.0,top
C27,119.45,-43.25,90.0,top
C28,118.7,-41.0,0.0,top
C29,119.7,-46.35,90.0,top
C3,93.0,-44.2,270.0,top
C30,121.2,-46.35,90.0,top
C31,64.325,-87.35,0.0,top
C32,67.375,-87.35,180.0,top
C33,82.221875,-48.889375,0.0,top
C34,76.771875,-49.564375,270.0,top
C35,120.44139,-62.871302,90.0,top
C36,119.99139,-69.046302,270.0,top
C37,109.4,-58.3125,180.0,top
C38,111.1,-54.5125,0.0,top
C39,104.695,-50.0625,0.0,top
C4,83.830625,-50.366875,180.0,top
C40,102.825,-55.3125,180.0,top
C41,102.85,-56.8125,180.0,top
C42,107.15,-59.0875,90.0,top
C43,106.95,-50.8125,270.0,top
C44,111.1,-53.0375,0.0,top
C45,104.725,-59.8125,0.0,top
C46,110.1,-50.8125,270.0,top
C47,96.51639,-87.996302,180.0,top
C48,98.26639,-84.246302,0.0,top
C49,91.81639,-81.246302,0.0,top
C5,85.199372,-56.548877,0.0,top
C50,89.96639,-84.996302,180.0,top
C51,94.26639,-88.796302,90.0,top
C52,89.96639,-86.496302,180.0,top
C53,94.06639,-80.496302,270.0,top
C54,98.26639,-82.746302,0.0,top
C55,91.86639,-89.496302,0.0,top
C56,97.26639,-80.496302,270.0,top
C57,58.75,-81.875,90.0,top
C58,69.0,-85.15,0.0,top
C59,62.0,-66.15,0.0,top
C6,115.24139,-70.421302,180.0,top
C60,77.8,-80.95,270.0,top
C61,77.75,-69.85,270.0,top
C62,79.3,-69.85,270.0,top
C63,72.025,-85.14,180.0,top
C64,72.025,-86.65,180.0,top
C65,72.025,-85.15,0.0,bottom
C66,72.025,-86.65,0.0,bottom
C67,81.606627,-51.139375,90.0,top
C68,82.206627,-56.589375,0.0,top
C7,112.388,-67.088,270.0,top
C8,107.888,-67.088,270.0,top
C9,104.288,-70.088,90.0,top
D1,87.9,-40.8,90.0,top
D2,64.2,-85.15,180.0,top
D3,103.8,-42.0,270.0,top
D4,101.95,-43.85,180.0,bottom
D5,96.25,-49.4,270.0,top
D6,81.1,-34.15,90.0,top
FB1,115.7,-40.95,0.0,top
FB2,121.2,-43.35,90.0,top
FB3,84.430625,-58.779375,270.0,top
FB4,85.209372,-55.048877,0.0,top
IC1,99.888,-71.738,0.0,top
IC2,90.45,-44.4,90.0,top
IC3,85.024372,-52.698877,90.0,top
IC4,112.1,-43.0,0.0,top
IC6,79.121875,-48.889375,0.0,top
IC7,120.54139,-65.971302,90.0,top
IC8,82.181627,-54.239375,90.0,top
IC9,68.25,-75.65,90.0,top
J1,110.285,-92.785,90.0,top
J10,82.61,-75.25,90.0,top
J2,58.29,-104.86,0.0,top
J3,79.61,-105.51,0.0,top
J4,79.61,-91.31,90.0,top
J5,98.31,-105.34,90.0,top
J6,113.61,-105.31,180.0,top
J7,66.055,-63.0,270.0,top
J8,52.25,-79.42,0.0,top
J9,97.35,-34.9,180.0,top
JP1,111.938,-72.878,180.0,top
JP2,108.338,-72.938,180.0,top
JP3,55.35,-71.55,270.0,top
L1,90.55,-40.65,0.0,top
L2,110.45,-38.95,0.0,top
L3,107.7,-44.95,90.0,top
L4,115.2,-47.05,180.0,top
N5V2_TP1,118.8,-52.5,0.0,top
P5V2_TP1,117.9,-34.85,0.0,top
R1,92.225,-47.3,0.0,top
R10,96.138,-67.138,270.0,top
R11,117.95,-43.25,90.0,top
R12,120.45,-48.6,0.0,top
R13,112.375,-59.85,0.0,top
R14,112.375,-58.35,180.0,top
R15,111.1,-56.8125,0.0,top
R16,109.4,-59.8125,180.0,top
R17,114.125,-51.5,180.0,top
R18,101.675,-50.05,180.0,top
R19,114.85,-53.7625,90.0,top
R2,87.175,-43.05,180.0,top
R20,113.35,-53.7625,90.0,top
R21,101.675,-51.53,0.0,top
R22,99.875,-58.3,0.0,top
R23,102.85,-53.0625,180.0,top
R24,99.125,-56.075,270.0,top
R25,104.7,-51.5625,0.0,top
R26,100.6,-56.0625,270.0,top
R27,104.725,-58.3125,0.0,top
R28,108.6,-50.8125,270.0,top
R29,99.51639,-89.496302,0.0,top
R3,86.4,-40.8,90.0,top
R30,99.51639,-87.996302,180.0,top
R31,101.26639,-81.246302,180.0,top
R32,88.81639,-79.746302,180.0,top
R33,88.81639,-81.246302,0.0,top
R34,86.96639,-87.996302,0.0,top
R35,98.26639,-86.496302,0.0,top
R36,102.01639,-83.496302,90.0,top
R37,90.01639,-82.746302,180.0,top
R38,86.21639,-85.746302,270.0,top
R39,96.51639,-89.496302,180.0,top
R4,110.138,-67.838,180.0,top
R40,100.51639,-83.496302,90.0,top
R41,91.81639,-79.746302,0.0,top
R42,87.71639,-85.746302,270.0,top
R43,91.86639,-87.996302,0.0,top
R44,95.76639,-80.496302,270.0,top
R45,97.638,-67.138,90.0,top
R46,61.2,-85.1,0.0,top
R47,54.8,-81.525,90.0,top
R48,54.8,-77.325,270.0,top
R49,58.7,-77.35,90.0,top
R5,102.238,-76.338,270.0,top
R51,100.975,-40.3,180.0,bottom
R52,96.85,-40.4,180.0,bottom
R53,82.8,-34.0,90.0,top
R6,103.738,-75.163,270.0,top
R7,102.538,-67.838,0.0,top
R8,102.538,-66.338,180.0,top
R9,105.538,-67.838,180.0,top
T1,110.3705,-81.638,0.0,top
U1,106.975,-54.95,180.0,top
U3,94.14139,-84.633802,180.0,top
